Ulasan
Barang tidak sesuai dengan gambar khususnya pada bagian saku
"mantap, bahan enak, cocok buat shio naga deh"
Perfectly fit!
"saya suka motifnya, ukurannya pas saat saya coba.. 
size L untuk tinggi 170 berat 63"
"Pengiriman cepat. Kualitas bahan bagus, nyaman dipakai. Ukuran sesuai panduan toko 👍🏻"
Ukurannya pas Lumayan ok lah 👍🏻
spontan uhuyy
Ukurannya terlalu kecil
bahan nyaman dan pengiriman cepat
bahan nyaman dan pengiriman cepat
pas mantab
Sudah dicoba dan hasilnya benar² buat kemeja tetap rapih walau aktivitas seperti apapun 😎👌
"Mantaaapz lahh,,, sesuai dengan pesenan 👍👍👍👍👍"
Bagus. Pas untuk casual dan formal
selalu puas belanja di toko iniii
kualitasnya kaya harga 30ribuan. kesel.
Ukurannya pas Tinggi badan 160 - 170 cm
"bagus, tapi untuk diharga segitu harusnya bisa lebih bagus sih"
cukup mengecewakan
"beda corak, kacauuu"
"Ukurannya pas biasa pakai 34. Bahannya bagus kok standar, pengiriman dan pelayanan sudah baik"
"untuk harga segini, bahan nyaman untuk dipakai tapi terkesan ringkih dan tidak kokoh karena bahannya tidak setebal celana chino yg ada di departement store.
Jahitan celan... "
"Biasa2 aja..
Nyaman digunakan tapi kurang oke potongannya In My Opinion.."
"Ukurannya pas, cukup nambah kepercayaan untuk jalan jalan smakin gagah karena celana ini wkwkwk"
"Bahannya bagus, dan fast response sekali dibantu untuk dikirim instant dihari yang sama. High recommend! Thank you seller ❤️"
celananya pas baget dan nyaman di pakai😍
Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg ukuran 38 pas
tebal sekali kaos kakinya smg nyaman dipakai g panas .. trims
Ukurannya terlalu kecil Tinggi badan < 160 cm Berat badan < 60 kg
Ukurannya pas
Ukurannya pas
"Ukurannya pas, bahannya bagus, mantap sukses selalu HoC"
mantap Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg
barang diterima dengan baik pengiriman oke
"bagus,cuma bahannya lebih tipis yg skr"
"Barang bagus, kualitas bagus, pengiriman cepat"
"Barang bagus, kualitas bagus, pengiriman cepat"
"Barang bagus, kualitas bagus, pengiriman cepat"
"Ukuran lebar pas, tp kurang panjang"
Ukurannya pas
Barang bagus
Ukuran pas cocok untuk yg badan ny besar....cuma agak tipis yah min.. semoga awet deh terimakasih yah
"bahan panas, dak gak nyaman diabadan"
mantap.. fast respon n luar biasaa..
veryyyyyyy goooooood
veryyyyyyy goooooood
veryyyyyyy goooooood
"bahannya enak ga bikin panas, tapi sayang kainnya tipis,Ukurannya pas"
"Barangnya bagus, enak dipakai, bahan juga oke, sayang dusnya penyok-penyok"
"Modelnya keren, warna jeans nya pas trimakasih"
"Ukurannya terlalu kecil Berat badan > 80 kg Tinggi badan 171 - 180 cm, bahan dan warna bagus"
Bagus dan ukuran benar pas 1 npmor di atas yg selalu dipakai. Thx seller
Modelnya bagus cuma agak sempit aja biasa pake size 34 tapi yg ini agak kecil
bagus dan semoga awet
bahannya enak nggak panas. ukuran real. nyaman dipake.modelnyabjuga bagus
Ukurannya pas
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan < 60 kg
Cepat dan bagus
ternyata sangkutan ditengahny pendek..ga cocok buat yg kakiny besar..namun panjang kakinya pas
"Seller baik, pesanan saya sgera diproses dan dikirim. Semua dipacking baik, sehingga aman sampai tujuan. Terimakasih banyak. Kiranya sukses selalu."
"Seller baik, pesanan saya sgera diproses dan dikirim. Semua dipacking baik, sehingga aman sampai tujuan. Terimakasih banyak. Kiranya sukses selalu."
"Seller baik, pesanan saya sgera diproses dan dikirim. Semua dipacking baik, sehingga aman sampai tujuan. Topinya bagus. Terimakasih banyak. Kiranya sukses selalu."
"Seller baik, pesanan saya sgera diproses dan dikirim. Semua dipacking baik, sehingga aman sampai tujuan. Topinya bagus. Terimakasih banyak. Kiranya sukses selalu."
"kirim cepet, bahan lumayan"
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg
keren
"puas banget belanja di sini
mantap tenan dan tidak menyesal"
"puas banget belanja di sini
mantap tenan dan tidak menyesal"
"puas banget belanja di sini
mantap tenan dan tidak menyesal"
"Bahan adem, detail motif di garuda keren"
"Bahan ringan, stretch, worth it untuk harganya, mantap"
"Bahan ringan, stretch, worth it untuk harganya, mantap"
"Nice bahan adem,"
"Nice, bahannya adem,pengirimn cepat"
ukurannya pas dan bahannya strech....sehingga sangat memudahkan .aktifitas. saya beli pertama dan sudah beli lg yg kedua warna hitam
Very recommend
lubang kancingnya blm bolong...ngelubangin sndri pakai gunting 😂😁 tolong d cek lagi ya k depan
Ukurannya pas Tinggi badan 165cm. keliatan kece
very good very fast
